Campaign,Ad group,Keyword,Match type,Status
C1-Rya-AR-KSA,المجموعة الإعلانية رقم 1,حجز طيران,Broad,Paused
C1-Rya-AR-KSA,المجموعة الإعلانية رقم 1,حجز فنادق,Broad,Paused
C1-Rya-AR-KSA,المجموعة الإعلانية رقم 1,تذاكر طيران,Broad,Paused
C1-Rya-AR-KSA,المجموعة الإعلانية رقم 1,أرخص طيران,Broad,Paused
C1-Rya-AR-KSA,المجموعة الإعلانية رقم 1,عروض طيران,Broad,Paused
C1-Rya-AR-KSA,المجموعة الإعلانية رقم 1,حجز رحلات,Broad,Paused
